Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	1656	11:118620034-118661845	1	Yes	23.3	yes		B-NHL			L	Dom	"oncogene, fusion"	T	IGH			"CCDS44751.1,ENSG00000110367.7,HLR2,NM_004397.4,NP_004388.2,P26196,RCK"
DEK	DEK oncogene (DNA binding)	7913	6:18224099-18265054	1		22.3	yes		AML			L	Dom	"oncogene, fusion"	T	NUP214			"CCDS34344.1,D6S231E,ENSG00000124795.10,NM_003472.3,NP_003463.1,P35659"
DGCR8	"DGCR8, microprocessor complex subunit"	54487	22:20067755-20099394	2		11.21	yes		Wilms tumour			O		oncogene	Mis				"C22orf12,CCDS13773.1,DGCRK6,ENSG00000128191.9,Gy1,NM_022720.6,NP_073557.3,Q8WYQ5,pasha"
DICER1	"dicer 1, ribonuclease type III"	23405	14:95552565-95624347	1	Yes	32.13	yes	yes	"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types"	pleuropulmonary blastoma	familial pleuropulmonary blastoma or DICER1 syndrome	"E, M, O"	Rec	TSG	"Mis, F, N"				"CCDS9931.1,Dicer,ENSG00000100697.10,HERNA,K12H4.8-LIKE,KIAA0928,MNG1,Q9UPY3"
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	3337	19:14625582-14629232	1		13.12	yes		fibrolamellar hepatocellular carcinoma			E	Dom	fusion	T	PRKACA			"CCDS12312.1,ENSG00000132002.3,HSPF1,Hsp40,NM_006145.1,NP_006136.1,P25685,RSPH16B,Sis1"
DNM2	dynamin 2	1785	19:10828807-10942579	1	Yes	13.2	yes		T-ALL			L	Rec	TSG	"F, N, S, Mis, O"		yes	"Charcot-Marie-Tooth disease, centronuclear myopathy,  lethal congenital contracture syndrome 5"	"CCDS45969.1,CMT2M,CMTDI1,CMTDIB,DI-CMTB,DYN2,DYNII,ENSG00000079805.12,NM_001005361.2,NP_001005361.1,P50570"
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	1788	2:25455845-25565459	1	Yes	23.3	yes		AML			L	Dom	TSG	"Mis, F, N, S"				"CCDS33157.1,ENSG00000119772.12,NM_175629.2,NP_783328.1,Q9Y6K1"
DROSHA	drosha ribonuclease III	29102	5:31400604-31532168	1	Yes	13.3	yes		"Wilms tumour, NSCLC, bladder carcinoma"			"E, O"		TSG	"A, Mis, N, F"				"CCDS47195.1,ENSG00000113360.12,Etohi2,HSA242976,NM_013235.4,NP_037367.3,Q9NRR4,RN3,RNASE3L,RNASEN"
DUX4L1	double homeobox 4 like 1	22947	4:191005267-191006883	2		35.2	yes		soft tissue sarcoma			M	Dom	fusion	T	CIC			"DUX4,ENSG00000258389.2,NM_033178.4,NP_149418.4"
EBF1	early B-cell factor 1	1879	5:158122928-158526769	1	Yes	33.3	yes		lipoma			M	Dom	"TSG, fusion"	T	HMGA2			"CCDS4343.1,COE1,EBF,ENSG00000164330.12,NM_024007.3,NP_076870.1,OLF1,Q9UH73"
ECT2L	epithelial cell transforming sequence 2 oncogene-like	345930	6:139117063-139225207	2		24.1	yes		ETP ALL			L	Rec		"N, S, Mis"				"ARHGEF32,C6orf91,CCDS43508.1,ENSG00000203734.7,FBXO49,LFDH,Q008S8"
EED	embryonic ectoderm development	8726	11:85955586-85989778	2		14.2	yes		"malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma"			"E, L"		TSG	"Mis, F"				"CCDS8273.1,ENSG00000074266.13,HEED,NM_003797.3,NP_003788.2,O75530,WAIT-1"
EGFR	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"	1956	7:55086794-55279321	1	Yes	11.2	yes	yes	"glioma, NSCLC"	NSCLC	familial lung cancer	"E, O"	Dom	oncogene	"A, O, Mis"				"CCDS5514.1,ENSG00000146648.11,ERBB,ERBB1,NM_005228.3,NP_005219.2,P00533"
EIF1AX	"eukaryotic translation initiation factor 1A, X-linked"	1964	X:20142636-20159962	2		22.12	yes		"uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer"			E			"Mis, S"				"CCDS14196.1,EIF1A,EIF4C,ENSG00000173674.6,NM_001412.3,NP_001403.1,P47813,eIF-1A,eIF-4C"
EIF3E	"eukaryotic translation initiation factor 3, subunit E"	3646	8:109213972-109260994	1	Yes	23.1	yes		colorectal			E	Dom	"TSG, fusion"	T	RSPO3			"CCDS6308.1,EIF3S6,ENSG00000104408.5,INT6,NM_001568.2,NP_001559.1,P60228,eIF3-p48,eIF3e"
EIF4A2	"eukaryotic translation initiation factor 4A, isoform 2"	1974	3:186501336-186507689	1	Yes	27.3	yes		NHL			L	Dom	fusion	T	BCL6			"BM-010,CCDS3282.1,DDX2B,EIF4A,EIF4F,ENSG00000156976.10,Q14240"
ELF3	E74 like ETS transcription factor 3	1999	1:201977073-201985137	2		32.1	yes		pancreatic cancer			E		TSG	"Mis, N, F"				"CCDS1419.1,ENSG00000163435.11,EPR-1,ERT,ESE-1,ESX,P78545"
ELF4	E74-like factor 4 (ets domain transcription factor)	2000	X:129198903-129244470	1	Yes	26.1	yes		AML			L	Dom	"oncogene, TSG, fusion"	T	ERG			"CCDS14617.1,ELFR,ENSG00000102034.12,MEF,NM_001421.3,NP_001412.1,Q99607"
ELK4	"ELK4, ETS-domain protein (SRF accessory protein 1)"	2005	1:205577071-205601090	1	Yes	32.1	yes		prostate			E	Dom	"oncogene, fusion"	T	SLC45A3			"CCDS1456.1,ENSG00000158711.9,NM_001973.3,NP_001964.2,P28324,SAP1"
ELL	ELL gene (11-19 lysine-rich leukemia gene)	8178	19:18553473-18632937	1	Yes	13.11	yes		AL			L	Dom	"TSG, fusion"	T	KMT2A			"C19orf17,CCDS12380.1,ELL1,ENSG00000105656.8,Men,NM_006532.3,NP_006523.1,P55199,PPP1R68"
ELN	elastin	2006	7:73442119-73484237	2		11.23	yes		B-ALL			L	Dom	fusion	T	PAX5	yes	"Supravalvular Aortic Stenosis, Cutis laxa , Williams-Beuren Syndrome"	"CCDS5562.2,ENSG00000049540.12,NM_001278915.1,NP_001265844.1,NP_001075224.1,NP_000492.2,P15502,SVAS,WBS,WS"
EML4	echinoderm microtubule associated protein like 4	27436	2:42396490-42559688	1	Yes	21	yes		NSCLC			E	Dom	fusion	T	ALK			"C2orf2,CCDS1807.1,ELP120,ENSG00000143924.14,NM_019063.3,NP_061936,NP_061936.2,Q9HC35,ROPP120"
EP300	300 kd E1A-Binding protein gene	2033	22:41487790-41576081	1	Yes	13.2	yes		"colorectal, breast, pancreatic, AML, ALL, DLBCL"			"L, E"	Rec	"TSG, fusion"	"T,  N, F, Mis, O"	"KMT2A, KAT6A"			"CCDS14010.1,ENSG00000100393.9,KAT3B,NM_001429.3,NP_001420.2,Q09472,p300"
EPAS1	endothelial PAS domain protein 1	2034	2:46524541-46613836	1	Yes	21	yes		"paraganglioma, pheochromocytoma, central nervous system hemangioblastomas"			"E, M"	Dom	"oncogene, TSG"	Mis		yes	type 3 familial erythrocytosis	"CCDS1825.1,ENSG00000116016.9,HIF2A,HLF,MOP2,NM_001430.4,NP_001421.2,PASD2,Q99814,bHLHe73"
EPHA3	EPH receptor A3	2042	3:89156674-89531284	2		11.1	yes		"lung cancer, CRC, melanoma"			E			Mis				"CCDS2922.1,ENSG00000044524.6,ETK,ETK1,HEK,HEK4,NM_005233.5,NP_005224.2,P29320,TYRO4"
EPHA7	EPH receptor A7	2045	6:93949738-94129244	2		16.1	yes		"CRC, melanoma"			E			Mis				"CCDS5031.1,ENSG00000135333.9,Hek11,NM_004440.3,NP_001275558.1,NP_004431.1,Q15375"
EPS15	epidermal growth factor receptor pathway substrate 15 (AF1p)	2060	1:51819935-51985000	1	Yes	32.3	yes		ALL			L	Dom	"TSG, fusion"	T	KMT2A			"AF-1P,CCDS557.1,ENSG00000085832.12,MLLT5,NM_001981.2,NP_001972.1,P42566"
ERBB2	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"	2064	17:37856333-37884915	1	Yes	12	yes		"breast, ovarian, other tumour types, NSCLC, gastric"			E	Dom	"oncogene, fusion"	"A, Mis, O"				"CCDS32642.1,CD340,ENSG00000141736.9,HER-2,HER2,NEU,NGL,P04626"
ERBB3	erb-b2 receptor tyrosine kinase 3	2065	12:56473645-56497289	1	Yes	13.2	yes		"colon, gastric, head and neck, bladder, skin"			E	Dom	oncogene	"Mis, N"				"CCDS31833.1,ENSG00000065361.10,HER3,LCCS2,NM_001982.3,NP_001973.2,P21860"
ERBB4	erb-b2 receptor tyrosine kinase 4	2066	2:212240446-213403565	1	Yes	34	yes	yes	"melanoma, gastric, NSCLC"			E	Dom	"oncogene, TSG"	"Mis, N"		yes	Amyotrophic lateral sclerosis 19	"ALS19,CCDS2394.1,ENSG00000178568.9,HER4,NM_005235.2,NP_005226.1,Q15303"
ERC1	ELKS/RAB6-interacting/CAST family member 1	23085	12:1100404-1605090	1	Yes	13.33	yes		"papillary thyroid, Spitzoid tumour"			E	Dom	fusion	T	"RET, ROS1"			"CAST2,CCDS8508.1,ELKS,ENSG00000082805.15,KIAA1081,MGC12974,Q8IUD2,RAB6IP2"
ERCC2	"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)"	2068	19:45853095-45873876	1	Yes	13.32		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (D)	E	Rec	TSG	"Mis, N, F, S"				"CCDS33049.1,EM9,ENSG00000104884.10,MAG,MGC102762,MGC126218,MGC126219,NM_000400.3,NP_000391.1,P18074,TFIIH,XPD"
ERCC3	"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"	2071	2:128014866-128051752	1	Yes	14.3		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (B)	E	Rec	TSG	"Mis, S"				"BTF2,CCDS2144.1,ENSG00000163161.8,GTF2H,NM_000122.1,NP_000113.1,P19447,RAD25,TFIIH,XPB"
ERCC4	"excision repair cross-complementing rodent repair deficiency, complementation group 4"	2072	16:14014014-14046202	1	Yes	13.12		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (F)	E	Rec	TSG	"Mis, N, F"				"CCDS32390.1,ENSG00000175595.10,FANCQ,NM_005236.2,NP_005227.1,Q92889,RAD1,XPF"
ERCC5	"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))"	2073	13:103497194-103528345	1	Yes	33.1		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (G)	E	Rec	TSG	"Mis, N, F"				"CCDS32004.1,ENSG00000134899.13,ERCM2,NM_000123.3,NP_000114,NP_000114.2,P28715,XPGC"
ERG	v-ets erythroblastosis virus E26 oncogene like (avian)	2078	21:39751949-40033618	1	Yes	22.2	yes		"Ewing sarcoma, prostate, AML"			"M, E, L"	Dom	"oncogene, fusion"	"T, A"	"EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1"			"CCDS46648.1,ENSG00000157554.14,NM_001243432.1,NP_001129626.1,NP_001230361.1,P11308,erg-3,p55"
ESR1	estrogen receptor 1	2099	6:152011631-152424409	1	Yes	25.1	yes		breast			E	Dom	"oncogene, TSG, fusion"	Mis				"CCDS5234.1,ENSG00000091831.17,ER-alpha,ESR,Era,NM_001122742.1,NP_001116214.1,NR3A1,P03372"
ETNK1	ethanolamine kinase 1	55500	12:22778009-22843599	1	Yes	12.1	yes		"aCML, CMML, SM-AHD, HES"			L	Dom	TSG	Mis				"CCDS8698.1,EKI,EKI1,ENSG00000139163.11,NM_018638.4,NP_061108.2,Q9HBU6"
ETV1	ets variant gene 1	2115	7:13930853-14029571	1		21.2	yes		"Ewing sarcoma, prostate"			"M, E"	Dom	"oncogene, fusion"	T	"EWSR1, TMPRSS2, SLC45A3, HMGN2P46, HNRNPA2B1. ACSL3"			"CCDS55088.1,ENSG00000006468.9,ER81,NM_004956.4,NP_004947.2,P50549"
ETV4	"ets variant gene 4 (E1A enhancer binding protein, E1AF)"	2118	17:41605212-41623800	1		21.31	yes		"Ewing sarcoma, prostate carcinoma"			"M, E"	Dom	"oncogene, fusion"	T	"EWSR1, TMPRSS2, DDX5, KLK2, CANT1"			"CCDS11465.1,E1A-F,E1AF,ENSG00000175832.8,NM_001079675.2,NP_001073143.1,P43268,PEA3"
ETV5	ets variant gene 5	2119	3:185764097-185826901	1		27.2	yes		prostate			E	Dom	"oncogene, fusion"	T	"TMPRSS2, SCL45A3"			"CCDS33906.1,ENSG00000244405.3,ERM,NM_004454.2,NP_004445.1,P41161"
ETV6	ets variant gene 6 (TEL oncogene)	2120	12:11802788-12048336	1	Yes	13.2	yes		"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS"			"L, E, M"	Dom	"TSG, fusion"	T	"NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5"			"CCDS8643.1,ENSG00000139083.6,NM_001987.4,NP_001978.1,P41212,TEL"
EWSR1	Ewing sarcoma breakpoint region 1 (EWS)	2130	22:29664305-29696333	1	Yes	12.2	yes		"Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma"			"L, M, E"	Dom	"oncogene, fusion"	T	"FLI1, ERG, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1, NFATC1, NFATC2, DDIT3, PATZ1, SMARCA5, SP3, ZNF444, YY1"			"CCDS13852.2,ENSG00000182944.13,EWS,Q01844"
EXT1	multiple exostoses type 1 gene	2131	8:118806729-119124092	1		24.11		yes		"exostoses, osteosarcoma"	multiple exostoses type 1	M	Rec	"TSG, fusion"	"Mis, N, F, S"				"CCDS6324.1,ENSG00000182197.6,LGCR,LGS,NM_000127.2,NP_000118.2,Q16394,ttv"
EXT2	multiple exostoses type 2 gene	2132	11:44117747-44266979	1		11.2		yes		"exostoses, osteosarcoma"	multiple exostoses type 2	M	Rec	TSG	"Mis, N, F, S"				"CCDS53618.1,ENSG00000151348.9,NM_000401.3,NP_000392.3,Q93063,SOTV"
EZH2	enhancer of zeste homolog 2	2146	7:148504477-148581370	1	Yes	36.1	yes		DLBCL			L	Dom	"oncogene, TSG"	Mis				"CCDS5891.1,ENSG00000106462.6,ENX-1,EZH1,KMT6,KMT6A,NM_004456.4,NP_001190177.1,NP_001190176.1,NP_004447.2,Q15910"
EZR	ezrin	7430	6:159186780-159240444	1	Yes	25.3	yes		NSCLC			E	Dom	fusion	T	ROS1			"CCDS5258.1,ENSG00000092820.13,NM_001111077.1,NP_001104547.1,P15311,VIL2"
FADD	Fas Associated Via Death Domain	8772	11:70049269-70053496	2		13.3	yes	yes	"breast cancer, HNSCC"	lymphoma		"E, L"			A				"CCDS8196.1,ENSG00000168040.4,GIG3,MORT1,NM_003824.3,NP_003815.1,Q13158"
FAM131B	"family with sequence similarity 131, member B"	9715	7:143050493-143059845	2		34	yes		pilocytic astrocytoma			O	Dom	fusion	T	BRAF			"CCDS47734.1,ENSG00000159784.13,KIAA0773,NM_001278297.1,NP_001026860.2,NP_001265226.1,Q86XD5"
FAM135B	family with sequence similarity 135 member B	51059	8:139142266-139509065	2		24.23	yes		SCLC			E			Mis				"C8ORFK32,CCDS6375.2,ENSG00000147724.7,NM_015912.3,NP_056996.2,Q49AJ0"
FAM47C	family with sequence similarity 47 member C	442444	X:37026432-37029739	2		21.1	yes		"melanoma, clear cell sarcoma of soft parts, SCLC"			"E, M"			Mis				"CCDS35227.1,ENSG00000198173.3,NM_001013736.2,NP_001013758.1,Q5HY64"
FANCA	"Fanconi anemia, complementation group A"	2175	16:89803957-89883054	1		24.3		yes		"AML, leukaemia"	Fanconi anaemia A	L	Rec	TSG	"D, Mis, N, F, S"				"CCDS32515.1,ENSG00000187741.10,FA-H,FAA,FACA,FAH,FANCH,NM_000135.2,NP_000126.2,O15360"
FANCC	"Fanconi anemia, complementation group C"	2176	9:97861336-98079984	1		22.32		yes		"AML, leukaemia"	Fanconi anaemia C	L	Rec	TSG	"D, Mis, N, F, S"				"CCDS35071.1,ENSG00000158169.7,FA3,FAC,FACC,NM_000136.2,NP_001230673.1,NP_000127.2,Q00597"
FANCD2	"Fanconi anemia, complementation group D2"	2177	3:10068098-10141344	1	Yes	25.3		yes		"AML, leukaemia"	Fanconi anaemia D2	L	Rec	TSG	"D, Mis, N, F"				"CCDS2595.1,ENSG00000144554.6,FA-D2,FACD,FAD,FANCD,NM_033084.3,NP_149075.2,Q9BXW9"
FANCE	"Fanconi anemia, complementation group E"	2178	6:35420138-35434880	1		21.31		yes		"AML, leukaemia"	Fanconi anaemia E	L	Rec	TSG	"N, F, S"				"CCDS4805.1,ENSG00000112039.3,FACE,FAE,NM_021922.2,NP_068741.1,Q9HB96"
FANCF	"Fanconi anemia, complementation group F"	2188	11:22644079-22647387	1		14.3		yes		"AML, leukaemia"	Fanconi anaemia F	L	Rec	TSG	"N, F"				"CCDS7857.1,ENSG00000183161.3,FAF,NM_022725.3,NP_073562.1,Q9NPI8"
FANCG	"Fanconi anemia, complementation group G"	2189	9:35073835-35080013	1		13.3		yes		"AML, leukaemia"	Fanconi anaemia G	L	Rec	TSG	"Mis, N, F, S"				"CCDS6574.1,ENSG00000221829.5,FAG,NM_004629.1,NP_004620.1,O15287,XRCC9"
FAS	Fas cell surface death receptor	355	10:90750414-90775542	1	Yes	23.31	yes		"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related"			"L, E, O"	Rec	TSG	Mis		yes	Autoimmune lymphoproliferative syndrome	"APO-1,APT1,CCDS7393.1,CD95,ENSG00000026103.15,FAS1,NM_152872.2,NP_690610.1,NP_690611.1,NP_000034.1,P25445,TNFRSF6"
FAT1	FAT atypical cadherin 1	2195	4:187508937-187645009	1	Yes	35.2	yes	yes	"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma"	pancreatic		"E, L"		TSG	"Mis, N, F, S"				"CCDS47177.1,CDHF7,CDHR8,ENSG00000083857.9,FAT,NM_005245.3,NP_005236.2,Q14517"
FAT3	FAT atypical cadherin 3	120114	11:92085262-92629618	2		14.3	yes		"SCC, colon adenocarcinoma, gastric adenocarcinoma"			E			Mis				"CDHF15,CDHR10,ENSG00000165323.11,KIAA1989,Q8TDW7"
FAT4	FAT atypical cadherin 4	79633	4:126237554-126414087	1	Yes	28.1	yes		"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma"			"E, L"		TSG	"Mis, N"		yes	"Hennekam lymphangiectasia-lymphedema syndrome 2, Van Maldergem syndrome 2"	"CCDS3732.3,CDHF14,CDHR11,ENSG00000196159.7,FAT-J,NM_024582.4,NP_078858.4,Q6V0I7"
FBLN2	fibulin 2	2199	3:13590631-13679922	2		25.1	yes		"breast cancer, colorectal adenocarcinoma"			E		TSG	"Mis, S"				"CCDS46761.1,ENSG00000163520.9,NM_001004019.1,NP_001004019.1,P98095"
FBXO11	F-box protein 11	80204	2:48034059-48132932	1	Yes	16.3	yes		DLBCL			L	Rec	TSG	"Mis, F, D"				"CCDS54357.1,ENSG00000138081.15,FBX11,NM_001190274.1,NP_001177203.1,Q86XK2,UBR6"
FBXW7	"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)"	55294	4:153242410-153457253	1	Yes	31.3	yes		"colorectal, endometrial, T-ALL"			"E, L"	Rec	TSG	"Mis, N, D, F"				"AGO,CCDS3777.1,CDC4,ENSG00000109670.9,FBW7,FBX30,FBXW6,FLJ11071,NM_033632.3,NP_361014.1,Q969H0,SEL-10,SEL10"
FCGR2B	"Fc fragment of IgG, low affinity IIb, receptor for (CD32)"	2213	1:161632951-161648444	1	Yes	23.3	yes		ALL			L	Dom	"oncogene, fusion"	T	?			"CCDS30924.1,CD32,CD32B,ENSG00000072694.14,FCG2,FCGR2,NM_004001.4,NP_001002275.1,NP_003992.3,P31994"
FCRL4	Fc receptor-like 4	83417	1:157543539-157567870	1		23.1	yes		B-NHL			L	Dom	"oncogene, fusion"	T	IGH			"CCDS1166.1,CD307d,ENSG00000163518.6,FCRH4,IGFP2,IRTA1,NM_031282.2,NP_112572.1,Q96PJ5"
FEN1	flap structure-specific endonuclease 1	2237	11:61560109-61564716	2		12.2		yes		breast cancer		E		TSG					"CCDS8010.1,ENSG00000168496.3,FEN-1,MF1,NM_004111.5,NP_004102.1,P39748,RAD2"
FES	"FES proto-oncogene, tyrosine kinase"	2242	15:91427642-91439006	1	Yes	26.1	yes		"HNSCC, ovarian carcinoma"			E		"oncogene, TSG"	"Mis, F"				"CCDS10365.1,ENSG00000182511.7,FPS,NM_002005.3,NP_001996.1,P07332"
FEV	FEV protein - (HSRNAFEV)	54738	2:219845809-219850379	1		35	yes		Ewing sarcoma			M	Dom	"oncogene, fusion"	T	"EWSR1,  FUS"			"CCDS2428.1,ENSG00000163497.2,NM_017521.2,NP_059991.1,Pet-1,Q99581"
FGFR1	fibroblast growth factor receptor 1	2260	8:38268656-38325363	1	Yes	11.23	yes		"MPN, NHL, salivary adenoma"			L	Dom	"oncogene, fusion"	T	"BCR, FOP, ZMYM2, CNTRL, PLAG1"	yes	"Pfeiffer syndrome, Kallman syndrome"	"BFGFR,CCDS55223.1,CD331,CEK,ENSG00000077782.15,FLG,FLT2,H2,H3,H4,H5,KAL2,N-SAM,NM_001174067.1,NP_001167538.1,P11362"
FGFR1OP	FGFR1 oncogene partner (FOP)	11116	6:167412670-167466201	1		27	yes		"MPN, NHL"			L	Dom	fusion	T	FGFR1			"CCDS5296.1,ENSG00000213066.7,FOP,NM_007045.3,NP_008976.1,O95684"
FGFR2	fibroblast growth factor receptor 2	2263	10:123239371-123357917	1	Yes	26.13	yes		"gastric, NSCLC, endometrial"			E	Dom	"oncogene, fusion"	Mis		yes	"Crouzon, Pfeiffer, and Apert syndromes"	"BEK,CCDS7620.2,CD332,CEK3,CFD1,ECT1,ENSG00000066468.16,JWS,K-SAM,KGFR,NM_022970.3,NP_075259.4,P21802,TK14,TK25"
FGFR3	fibroblast growth factor receptor 3	2261	4:1795039-1810599	1	Yes	16.3	yes		"bladder, MM, T-cell lymphoma"			"L, E"	Dom	"oncogene, fusion"	"Mis, T"	"IGH, ETV6"	yes	"Hypochondroplasia, Thanatophoric dysplasia"	"ACH,CCDS54706.1,CD333,CEK2,ENSG00000068078.13,JTK4,NM_001163213.1,NP_001156685.1,P22607"
FGFR4	fibroblast growth factor receptor 4	2264	5:176513887-176525145	1	Yes	35.2	yes		rhabdomyosarcoma			M	Dom	oncogene	Mis				"CCDS4410.1,CD334,ENSG00000160867.10,JTK2,NM_213647.1,NP_002002.3,NP_998812.1,P22455"
FH	fumarate hydratase	2271	1:241660903-241683061	1		43		yes		"leiomyomatosis, renal"	hereditary leiomyomatosis and renal cell cancer	"E, M"	Rec	TSG	"Mis, N, F"				"CCDS1617.1,ENSG00000091483.6,NM_000143.3,NP_000134.2,P07954"
FHIT	fragile histidine triad gene	2272	3:59737133-61237133	1	Yes	14.2	yes		pleomorphic salivary gland adenoma			E	Dom	"TSG, fusion"	T	HMGA2			"AP3Aase,CCDS2894.1,ENSG00000189283.5,FRA3B,P49789"
FIP1L1	FIP1 like 1 (S. cerevisiae)	81608	4:54243812-54325835	1	Yes	12	yes		idiopathic hypereosinophilic syndrome			L	Dom	fusion	T	PDGFRA			"CCDS3491.1,DKFZp586K0717,ENSG00000145216.11,FIP1,NM_030917.3,NP_112179.2,Q6UN15"
FKBP9	FK506 binding protein 9	11328	7:32997017-33046543	2		14.3	yes		glioma			O			Mis				"CCDS5439.1,ENSG00000122642.6,FKBP60,FKBP63,NM_007270.3,NP_009201.2,O95302"
FLCN	folliculin	201163	17:17115526-17140453	1		11.2		yes		"renal, fibrofolliculomas, trichodiscomas"	Birt-Hogg-Dube syndrome	"E, M"	Rec	TSG	"Mis. N, F"				"BHD,CCDS32579.1,ENSG00000154803.8,MGC17998,MGC23445,NM_144997.5,NP_659434.2,Q8NFG4"
FLI1	Friend leukemia virus integration 1	2313	11:128563665-128683162	1		24.3	yes		Ewing sarcoma			M	Dom	"oncogene, fusion"	T	EWSR1			"CCDS44768.1,ENSG00000151702.12,EWSR2,NM_002017.4,NP_001257939.1,NP_002008.2,SIC-1"
FLNA	filamin A	2316	X:153577016-153602994	2		28	yes		phyllodes tumour of the breast			E			"Mis, F, O"				"ABP-280,CCDS48194.1,ENSG00000196924.10,FLN,FLN1,NM_001110556.1,NP_001104026.1,OPD1,OPD2,P21333"
FLT3	fms-related tyrosine kinase 3	2322	13:28577411-28674729	1	Yes	12.2	yes		"AML, ALL"			L	Dom	oncogene	"Mis, O"				"CCDS31953.1,CD135,ENSG00000122025.10,FLK2,NM_004119.2,NP_004110.2,P36888,STK1"
FLT4	fms-related tyrosine kinase 4	2324	5:180028506-180076624	1	Yes	35.3	yes		soft tissue sarcoma			M	Dom	oncogene	A				"CCDS4457.1,ENSG00000037280.11,NM_182925.4,NP_891555.2,P35916,PCL,VEGFR3"
FNBP1	formin binding protein 1 (FBP17)	23048	9:132649466-132805441	2		34.11	yes		AML			L	Dom	fusion	T	KMT2A			"CCDS48040.1,ENSG00000187239.12,FBP17,KIAA0554,NM_015033.2,NP_055848.1,Q96RU3"
FOXA1	forkhead box A1	3169	14:38059189-38064239	1	Yes	21.1	yes		"breast, prostate"			E	Dom	oncogene	"Mis, F"				"CCDS9665.1,ENSG00000129514.4,HNF3A,NM_004496.3,NP_004487.2,P55317"
FOXL2	forkhead box L2	668	3:138663066-138665982	1	Yes	22.3	yes		granulosa-cell tumour of the ovary			O	Dom	"oncogene, TSG"	Mis		yes	"Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III"	"BPES,BPES1,CCDS3105.1,ENSG00000183770.5,NM_023067.3,NP_075555.1,P58012"
FOXO1	forkhead box O1	2308	13:41129804-41240734	1		14.11	yes		alveolar rhabdomyosarcoma			M	Dom	"oncogene, TSG, fusion"	T	"PAX3, PAX7"			"CCDS9371.1,ENSG00000150907.6,FKH1,FKHR,FOXO1A,NM_002015.3,NP_002006.2,Q12778"
FOXO3	forkhead box O3	2309	6:108882069-109005971	1		21	yes		AL			L	Dom	"oncogene, TSG, fusion"	T	KMT2A			"AF6q21,CCDS5068.1,ENSG00000118689.10,FKHRL1,FOXO2,FOXO3A,NM_001455.3,NP_001446.1,O43524"
FOXO4	forkhead box O4	4303	X:70316047-70323385	1		13.1	yes		"AL, soft tissue sarcoma"			"L, M"	Dom	"oncogene, TSG, fusion"	T	"KMT2A, CIC"			"AFX1,CCDS43969.1,ENSG00000184481.12,MLLT7,NM_005938.3,NP_001164402.1,NP_005929.2,P98177"
FOXP1	forkhead box P1	27086	3:71008342-71179988	1		13	yes		ALL			L	Dom	"oncogene, fusion"	T	PAX5			"12CC4,CCDS58837.1,ENSG00000114861.14,HSPC215,NM_001244815.1,NP_001231744.1,QRF1,hFKH1B"
FOXR1	forkhead box R1	283150	11:118842417-118852001	2		23.3	yes		neuroblastoma			O		"oncogene, fusion"	T				"CCDS31688.1,DLNB13,ENSG00000176302.8,FOXN5,NM_181721.2,NP_859072.1,Q6PIV2"
